epsilon,neighbors,kernel_type,reconstruction_error,time
1000,5,gaussian,0.07608984371253542,7.9320292472839355
1000,5,multiquadric,0.46656595586479865,7.914026975631714
1000,5,inverse_multiquadric,0.07607176342569076,7.915360689163208
1000,5,linear,0.4666034072911605,7.8958940505981445
1000,5,cubic,41.85652731339048,7.892837047576904
1000,5,thin_plate_spline,4.975815211628442,7.897671222686768
1000,5,power,1.6754038902266049,7.934736490249634
1000,5,exponential,0.07608984371253542,7.9443323612213135
1000,5,polyharmonic_spline,4.975815211628442,7.9114603996276855
1000,10,gaussian,0.07608984371253542,7.93724513053894
1000,10,multiquadric,0.018726526568551664,7.961745977401733
1000,10,inverse_multiquadric,0.07605875396568165,7.933696985244751
1000,10,linear,0.018726459933088933,7.952556848526001
1000,10,cubic,0.5763865946201481,7.976389169692993
1000,10,thin_plate_spline,0.09727379187853562,7.914912223815918
1000,10,power,4.3322356327048155,7.878385543823242
1000,10,exponential,0.07608984371253542,7.915414571762085
1000,10,polyharmonic_spline,0.09727379187853562,7.906850337982178
1000,20,gaussian,0.07608984371253542,7.933317184448242
1000,20,multiquadric,0.0201154630641583,7.943212270736694
1000,20,inverse_multiquadric,0.0760381146721676,7.932698488235474
1000,20,linear,0.02011539740591908,7.925497531890869
1000,20,cubic,0.22231500765681173,7.969440221786499
1000,20,thin_plate_spline,3.8258390134531455,7.918112277984619
1000,20,power,120.46499743324682,7.934881210327148
1000,20,exponential,0.07608984371253542,7.936209201812744
1000,20,polyharmonic_spline,3.8258390134531455,7.901475429534912
1000,50,gaussian,0.07608984371253542,8.016233682632446
1000,50,multiquadric,0.019255699634471487,8.092529296875
1000,50,inverse_multiquadric,0.07599300604134304,8.109318733215332
1000,50,linear,0.019255812180619995,8.124443531036377
1000,50,cubic,2.355018315119891,8.138863325119019
1000,50,thin_plate_spline,11.714958225778453,8.096512079238892
1000,50,power,33.686156637477964,8.066610097885132
1000,50,exponential,0.07608984371253542,8.115578651428223
1000,50,polyharmonic_spline,11.714958225778453,8.126754999160767
1000,100,gaussian,0.07608984371253542,8.55490779876709
1000,100,multiquadric,0.013839559876904349,8.56325364112854
1000,100,inverse_multiquadric,0.07594897553200024,8.521703243255615
1000,100,linear,0.013839716790426546,8.51548719406128
1000,100,cubic,0.13390082116628668,8.507023334503174
1000,100,thin_plate_spline,0.0663087890505535,8.5553617477417
1000,100,power,7.986551721305155,8.45643949508667
1000,100,exponential,0.07608984371253542,8.526621580123901
1000,100,polyharmonic_spline,0.0663087890505535,8.594810724258423
100,5,gaussian,0.07608984371253542,7.948591470718384
100,5,multiquadric,0.46622853547506793,7.896015405654907
100,5,inverse_multiquadric,0.07591222255202852,7.9070258140563965
100,5,linear,0.4666034072911605,7.884456634521484
100,5,cubic,41.85652731339048,7.925128936767578
100,5,thin_plate_spline,4.975815211628442,7.89269757270813
100,5,power,1.6754038902266049,7.935978651046753
100,5,exponential,0.07608984371253542,9.306936264038086
100,5,polyharmonic_spline,4.975815211628442,7.949923753738403
100,10,gaussian,0.07608984371253542,7.934564828872681
100,10,multiquadric,0.018727125882630664,7.952125072479248
100,10,inverse_multiquadric,0.07578663415473476,7.9520423412323
100,10,linear,0.018726459933088933,7.962354898452759
100,10,cubic,0.5763865946201481,8.046077489852905
100,10,thin_plate_spline,0.09727379187853562,7.935740947723389
100,10,power,4.3322356327048155,7.923037052154541
100,10,exponential,0.07608984371253542,9.327521085739136
100,10,polyharmonic_spline,0.09727379187853562,7.998106479644775
100,20,gaussian,0.07608984371253542,7.924251556396484
100,20,multiquadric,0.020116054046331853,7.968205213546753
100,20,inverse_multiquadric,0.07558891221829117,7.950944900512695
100,20,linear,0.02011539740591908,7.922243595123291
100,20,cubic,0.22231500765681173,7.95181679725647
100,20,thin_plate_spline,3.8258390134531455,7.967368841171265
100,20,power,120.46499743324682,7.931443452835083
100,20,exponential,0.07608984371253542,9.285575866699219
100,20,polyharmonic_spline,3.8258390134531455,7.925997734069824
100,50,gaussian,0.07608984371253542,8.066879272460938
100,50,multiquadric,0.019254684650552623,8.037666082382202
100,50,inverse_multiquadric,0.07515892189579675,7.956939697265625
100,50,linear,0.019255812180619995,7.976431608200073
100,50,cubic,2.355018315119891,7.998986482620239
100,50,thin_plate_spline,11.714958225778453,7.9525675773620605
100,50,power,33.686156637477964,7.961125373840332
100,50,exponential,0.07608984371253542,9.308303833007812
100,50,polyharmonic_spline,11.714958225778453,7.932468414306641
100,100,gaussian,0.07608984371253542,8.353944778442383
100,100,multiquadric,0.01383814478146371,8.404781103134155
100,100,inverse_multiquadric,0.07474458411911933,8.352716445922852
100,100,linear,0.013839716790426546,8.396342039108276
100,100,cubic,0.13390082116628668,8.417406797409058
100,100,thin_plate_spline,0.0663087890505535,8.329201221466064
100,100,power,7.986551721305155,8.35418152809143
100,100,exponential,0.07608984371253542,9.78005075454712
100,100,polyharmonic_spline,0.0663087890505535,8.35259747505188
10,5,gaussian,0.07608984371253542,7.774874448776245
10,5,multiquadric,0.46282008827357063,7.75940728187561
10,5,inverse_multiquadric,0.07456707607796034,7.789093732833862
10,5,linear,0.4666034072911605,7.7559285163879395
10,5,cubic,41.85652731339048,7.777829885482788
10,5,thin_plate_spline,4.975815211628442,7.775327444076538
10,5,power,1.6754038902266049,7.8028528690338135
10,5,exponential,0.07608847066563956,34.655349254608154
10,5,polyharmonic_spline,4.975815211628442,7.790120840072632
10,10,gaussian,0.07608984371253542,7.822728395462036
10,10,multiquadric,0.018733076908167088,7.825408458709717
